  Time                 , V(R1:1)              , V(U2:OUT)            
  1.513297103607e+00  ,5.000000000000e-01  ,2.836831035609e+00  
  1.526578353607e+00  ,5.000000000000e-01  ,2.408570372652e+00  
  1.540197103607e+00  ,5.000000000000e-01  ,2.347931349060e+00  
  1.559900228607e+00  ,5.000000000000e-01  ,2.374934610872e+00  
  1.584718978607e+00  ,5.000000000000e-01  ,2.436427225627e+00  
  1.624718978607e+00  ,5.000000000000e-01  ,2.535848442872e+00  
  1.664718978607e+00  ,5.000000000000e-01  ,2.635238532843e+00  
  1.704718978607e+00  ,5.000000000000e-01  ,2.734638899344e+00  
  1.744718978607e+00  ,5.000000000000e-01  ,2.834036490787e+00  
  1.784718978607e+00  ,5.000000000000e-01  ,2.933433948195e+00  
  1.800000000004e+00  ,4.998000044243e-01  ,2.970684907405e+00  
  1.800000001004e+00  ,4.498200065062e-01  ,2.970684909819e+00  
  1.800000003003e+00  ,3.498518394285e-01  ,2.970684914575e+00  
  1.800000007002e+00  ,1.499155052732e-01  ,2.970684924965e+00  
  1.800000010004e+00  ,0.000000000000e+00  ,2.970684934770e+00  
  1.800000010804e+00  ,0.000000000000e+00  ,2.970684938240e+00  
  1.800000012403e+00  ,0.000000000000e+00  ,2.970684946261e+00  
  1.800000015602e+00  ,0.000000000000e+00  ,2.970684971391e+00  
  1.800000022000e+00  ,0.000000000000e+00  ,2.970685087990e+00  
  1.800000034796e+00  ,0.000000000000e+00  ,2.970685802814e+00  
  1.800000060387e+00  ,0.000000000000e+00  ,2.970688323255e+00  
  1.800000111569e+00  ,0.000000000000e+00  ,2.970621222363e+00  
  1.800000198091e+00  ,0.000000000000e+00  ,2.969314720923e+00  
  1.800000341405e+00  ,0.000000000000e+00  ,2.957606496006e+00  
  1.800000628032e+00  ,0.000000000000e+00  ,2.871317537030e+00  
  1.800000905408e+00  ,0.000000000000e+00  ,2.704190287078e+00  
  1.800001366795e+00  ,0.000000000000e+00  ,2.324141787676e+00  
  1.800002105512e+00  ,0.000000000000e+00  ,1.686338318070e+00  
  1.800002795400e+00  ,0.000000000000e+00  ,1.186960062418e+00  
  1.800003766812e+00  ,0.000000000000e+00  ,6.905647995668e-01  
  1.800004975499e+00  ,0.000000000000e+00  ,3.168841257467e-01  
  1.800006274785e+00  ,0.000000000000e+00  ,1.099739222495e-01  
  1.800007558431e+00  ,0.000000000000e+00  ,3.492034546065e-02  
  1.800008105077e+00  ,0.000000000000e+00  ,1.710045886764e-02  
  1.800008878125e+00  ,0.000000000000e+00  ,1.338725815045e-03  
  1.800009656896e+00  ,0.000000000000e+00  ,-9.116847941921e-03  
  1.800010463132e+00  ,0.000000000000e+00  ,-1.561096926744e-02  
  1.800012075604e+00  ,0.000000000000e+00  ,-2.235083260928e-02  
  1.800013690938e+00  ,0.000000000000e+00  ,-2.466046540477e-02  
  1.800016765202e+00  ,0.000000000000e+00  ,-2.545789123468e-02  
  1.800019570149e+00  ,0.000000000000e+00  ,-2.493008763563e-02  
  1.800025180043e+00  ,0.000000000000e+00  ,-2.368697920208e-02  
  1.800033499135e+00  ,0.000000000000e+00  ,-2.181539286400e-02  
  1.800050137319e+00  ,0.000000000000e+00  ,-1.808780657673e-02  
  1.800083413686e+00  ,0.000000000000e+00  ,-1.064544422359e-02  
  1.800149966420e+00  ,0.000000000000e+00  ,4.160847802523e-03  
  1.800283071889e+00  ,0.000000000000e+00  ,3.348350048090e-02  
  1.800549282826e+00  ,0.000000000000e+00  ,9.096941992117e-02  
  1.801081704701e+00  ,0.000000000000e+00  ,2.014940003070e-01  
  1.802146548451e+00  ,0.000000000000e+00  ,4.057313706199e-01  
  1.804276235951e+00  ,0.000000000000e+00  ,7.552252347889e-01  
  1.808535610951e+00  ,0.000000000000e+00  ,1.270076598949e+00  
  1.817054360951e+00  ,0.000000000000e+00  ,1.838287007629e+00  
  1.827523110951e+00  ,0.000000000000e+00  ,2.101256182979e+00  
  1.842182485951e+00  ,0.000000000000e+00  ,2.202328881925e+00  
  1.859951235951e+00  ,0.000000000000e+00  ,2.219411581830e+00  
  1.890388735951e+00  ,0.000000000000e+00  ,2.220266282611e+00  
  1.930388735951e+00  ,0.000000000000e+00  ,2.219364561689e+00  
  1.970388735951e+00  ,0.000000000000e+00  ,2.218863077524e+00  
  2.000000000000e+00  ,0.000000000000e+00  ,2.218387894153e+00  
